Title,Directors,Year
"Pet Sematary",Mary Lambert,1989
"the Boy She Met Online",Curtis Crawford,2010
"the Beales of Grey Gardens","Albert Mayseles, David Mayseles, Ian Markiewicz",2006
"Stranger with a Camera",Elizabeth Barret,2000
"Badlands",Terrence Malick,1973
"Babyface",Alfred E. Green,1933
"Back to the Future",Robert Zemeckis,1985
"Black Swan",Darren Aronofsky,2010
"Primer",Shane Carruth,2004
"Following",Christopher Nolan,1998
"Left Behind: the Movie",Vic Sarin,2000
"No End in Sight",Charles H. Ferguson,2007
"the Shining",Stanley Kubrick,1980
"Single White Female",Barbet Schroeder,1992
"Exit Through the Gift Shop",Banksy,2010
"the Passenger",Michelangelo Antonioni,1975
"Scarface",Brian de Palma,1983
"Goodfellas",Martin Scorsese,1990
"Commando",Mark Lester,1985
"Nukie","Sias Odendal, Michael Pakleppa",1988
"L'Avventura ",Michelangelo Antonioni,1960
"Lars and the Real Girl",Craig Gillespie,2007
"the Godfather",Francis Ford Coppolla,1972
"Persona",Ingmar Bergman,1966
"Altered States",Ken Russell,1980
"Shutter",Masayuki Ochiai,2008
"Beautiful Losers","Aaron Rose, Joshua Leonard",2008
"Goodfellas",Martin Scorsese,1990
"Single White Female",Barbet Schroeder,1992
"Friday",F. Gary Gray,1995
"the Abyss",James Cameron,1992
"Independence Day",Roland Emmerich,1996
"the Godfather Part II",Francis Ford Coppolla,1974
"Dirty Work",Bob Saget,1998
"Days of Heaven",Terrence Malick,1978
"Rio",Carlos Saldanha,2011
"Hubble",Toni Myers,2010
"Twin Peaks: Fire Walk With Me",David Lynch,1992
"True Grit",Joel and Ethan Coen,2010
"Jackass 3.5",Jeff Tremaine,2011
"Cobra",George P. Cosmatos,1986
"Raging Bull",Martin Scorsese,1980
"Inside Deep Throat","Fenton Bailey, Randy Barbato",2005
"Jackass 2.5",Jeff Tremaine,2007
"I Am Comic",Jordan Brady,2010
"Freakonomics","Heidi Ewig, Alex Gibney, Seth Gordon, Rachel Grady, Eugene Jarecki, Morgan Spurlock",2010
"Horrible Bosses",Seth Gordon,2011
"the Blair Witch Project","Daniel Myrick, Eduardo Sanchez",1999
"Harry Potter and the Deathly Hallows, Part 1",David Yates,2010
"Harry Potter and the Deathly Hallows, Part 2",David Yates,2011
"Cedar Rapids",Miguel Arteta,2011
"Red White & Blue",Simon Rumley,2010
"Crazy Stupid Love","Glenn Ficarra, John Requa",2011
"Last Year at Marienbad",Alain Resnais,1961
"the Texas Chainsaw Massacre Part 2",Tobe Hooper,1986
"Nostalghia",Andrei Tarkovsky,1983
"Bloody Birthday",Ed Hunt,1981
"the Terminator",James Cameron,1984
"Aliens",James Cameron,1986
"Airheads",Michael Lehmann,1994
"Book of Shadows: Blair Witch 2",Joe Berlinger,2000
"Rosemary’s Baby",Roman Polanski,1968
"Blue Velvet",David Lynch,1986
"Contempt",Jean-Luc Godard,1963
"the Informant!",Steven Soderbergh,2009
"50/50",Jonathan Levine,2011
"the Exorcist",William Friedkin,1973
"I Don’t Know Jack",Chris Leavens,2002
"the Human Centipede II (Full Sequence)",Tom Six,2011
"Rififi",Jules Dassin,1955
"2 or 3 Things I Know About Her",Jean-Luc Godard,1967
"the Killing",Stanley Kubrick,1956
"Silent Night, Deadly Night","Charles E. Sellier, Jr.",1984
"a Nightmare on Elm Street",Wes Craven,1984
"the Abyss",James Cameron,1989
"They Live",John Carpenter,1988
"Friday the 13th",Marcus Nispel,2009
"a Colt Is My Passport",Takashi Nomura,1967
"the Dead Zone",David Cronenberg,1983
"Silent Night, Deadly Night Part 2",Lee Harry,1987
"Die Hard",John McTiernan,1988
"Winter Light",Ingmar Bergman,1963
"a Nightmare on Elm Street 4: the Dream Master",Renny Harlin,1988
"Alien",Ridley Scott,1979
