Title,Directors,Year,Tags
"Star Wars, Episode IV: A New Hope",George Lucas,1977,vhs
"Star Wars, Episode V: the Empire Strikes Back",Irvin Kershner,1980,vhs
"Star Wars, Episode VI: Return of the Jedi",Richard Marquand,1983,vhs
"Die Hard 2: Die Harder",Renny Harlin,1990,vhs
"Salinger",Shane Salerno,2013,streaming
"Our Nixon",Penny Lane,2013,streaming
"American Hustle",David O. Russell,2013,"theater, digital"
"the Place Beyond the Pines",Derek Clanfrance,2012,streaming
"Fast & Furious 6",Justin Lin,2013,dvd
"the Square",Jehane Noujaim,2013,streaming
"Bobby Fischer Against the World",Liz Garbus,2011,streaming
"There Will Be Blood",Paul Thomas Anderson,2007,streaming
"the Love of Her Life",Robert Malenfant,2008,streaming
"Nightmares in Red, White and Blue",Andrew Monument,2009,streaming
"Nebraska",Alexander Payne,2013,dvd
"Her",Spike Jonze,2013,dvd
"the Wolf of Wall Street",Martin Scorsese,2013,dvd
"Gravity",Alfonso Cuarón,2013,dvd
"Hard as Nails",David Holbrooke,2007,streaming
"Inside Llewyn Davis","Joel Coen, Ethan Coen",2013,dvd
"Ransom",Ron Howard,1996,download
"Breadcrumb Trail",Lance Bangs,2014,dvd
"Dogville",Lars von Trier,2003,dvd
"Dallas Buyers Club",Jean-Marc Vallée,2013,dvd
"the Sandlot",David MIckey Evans,1993,dvd
"Puce Moment",Kenneth Anger,1949,dvd
"Un Chien Andalou","Luis Buñel, Salvador Dalí",1929,streaming
"the Town",Ben Affleck,2010,dvd
"Milius",Joey Figueroa, Zak Knutson,2013,streaming
"A Band Called Death","Jeff Howlett, Mark Christopher Covino",2012,streaming
"Jodorowsky’s Dune",Frank Pavich,2013,download
"Dog Star Man",Stan Brakhage,1961,blu-ray
"the Act of Seeing with One’s Own Eyes",Stan Brakhage,1971,blu-ray
"Friday the 13th",Sean S. Cunningham,1980,dvd
"An American Werewolf in London",John Landis,1981,download
"Twin Peaks Fire Walk With Me",David Lynch,1992,"theater, 35mm"
"the Internet’s Own Boy",Brian Knappenberger,2014,streaming
"Night and Fog",Alain Resnais,1955,dvd
"Harry Dean Stanton: Partly Fiction",Sophie Huber,2013,streaming
"the Greatest Movie Ever Rolled",Ryan Polito,2012,streaming
"the Maltese Falcon",John Huston,1941,download
"Stranger on the Third Floor",Boris Ingster,1940,dvd
"I Wake Up Screaming",Bruce Humberstone,1941,dvd
"the Big Sleep",Howard Hawks,1946,dvd
"Inside Job",Charles Ferguson,2010,download
"Thrill of the Kill",Richard Roy,2006,streaming
"the Bakery Girl of Monceau",Eric Rohmer,1962,dvd
"Murder, My Sweet",Edward Dmytryk,1944,dvd
"Double Indemnity",Billy Wilder,1944,dvd
"Shoot the Piano Player",François Truffaut,1960,streaming
"…But Film Is My Mistress",Stig Björkman,2010,streaming
"the Postman Always Rings Twice",Tay Garnett,1946,dvd
"Scarlet Street",Fritz Lang,1945,dvd
"Mildred Pierce",Michael Curtiz,1945,dvd
"les Diaboliques",Henri-Georges Clouzot,1955,streaming
"Is the Man Who Is Tall Happy?",Michel Gondry,2013,streaming
"Out of the Past",Jacques Tourneur,1947,dvd
"the Naked City",Jules Dassin,1948,dvd
"Akira",Katsuhiro Otomo,1988,dvd
"an Unfinished Affair",Ron Hardy,1996,streaming
"Sharknado 2: the Second One",Anthony C. Ferrante,2014,download
"Laura",Otto Preminger,1944,dvd
"the Big Heat",Fritz Lang,1953,dvd
"the Big Combo",Joseph H. Lewis,1955,streaming
"Kiss Me Deadly",Robert Aldrich,1955,dvd
"D.O.A.",Rudolph Maté,1950,dvd
"Detour",Edgar Ulmer,1945,dvd
"Gun Crazy",Joseph H. Lewis,1950,dvd
"Lizzie Borden Took an Axe",Nick Gomez,2014,streaming
"Anna’s Storm",Kristoffer Tabori,2007,streaming
"the Beyond",Lucio Fulci,1981,"theater, 35mm"
"Creepers",Dario Argento,1985,"theater, 35mm"
"Doctor Butcher M.D.",Marino Girolami,1980,"theater, 35mm"
"the Girl in Room 2A",William Rose,1974,"theater, 35mm"
"Cannibal Ferox",Umberto Lenzi,1981,"theater, 35mm"
"Lost Highway",David Lynch,1997,"theater, 35mm"
"Downloaded",Alex Winter,2013,streaming
"Tremors",Ron Underwood,1990,streaming
"Carrie",Kimberly Pierce,2013,streaming
"Texas Chainsaw 3D",John Luessenhop,2013,streaming
"You’re Next",Adam Wingard,2011,streaming
"Would You Rather",David Guy Levy,2012,streaming
"the Den",Zachary Donohue,2014,streaming
"Black Christmas",Bob Clark,1974,vhs
"Birth of the Living Dead",Rob Kuhns,2013,streaming
"Drag Me To Hell",Sam Raimi,2009,dvd
"Prom Night",Paul Lynch,1980,vhs
"the Town That Dreaded Sundown",Charles B. Pierce,1976,streaming
"Self Storage",Tom DeNucci,2013,streaming
"My Bloody Valentine",Patrick Lussier,2009,dvd
"Pontypool",Bruce McDonald,2008,streaming
"Leprechaun",Mark Jones,1993,streaming
"House",Steve Miner,1986,streaming
"Blood Night: the Legend of Mary Hatchet",Frank Sabatella,2009,streaming
"the Conjuring",James Wan,2013,streaming
