Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-01-02,The Dark Knight,2008,https://letterboxd.com/malantonio/film/the-dark-knight/,4,"streaming, google play",2017-01-01
2017-01-06,Double Down,2005,https://letterboxd.com/malantonio/film/double-down-2005/,3,"streaming, youtube",2017-01-04
2017-01-06,Puce Moment,1949,https://letterboxd.com/malantonio/film/puce-moment/,4.5,"streaming, youtube",2017-01-05
2017-01-06,Rabbit's Moon,1971,https://letterboxd.com/malantonio/film/rabbits-moon/,3.5,"youtube, streaming",2017-01-05
2017-01-06,Scorpio Rising,1963,https://letterboxd.com/malantonio/film/scorpio-rising/,4,"youtube, streaming",2017-01-05
2017-01-07,Fear,1996,https://letterboxd.com/malantonio/film/fear-1996/,3.5,"streaming, google play",2017-01-06
2017-01-07,Fire in the Sky,1993,https://letterboxd.com/malantonio/film/fire-in-the-sky/,3.5,"netflix, streaming",2017-01-06
2017-01-12,Jason X,2001,https://letterboxd.com/malantonio/film/jason-x/,2,"streaming, 123 movies",2017-01-11
2017-01-14,Friday the 13th,1980,https://letterboxd.com/malantonio/film/friday-the-13th/1/,4,"streaming, Hulu",2017-01-13
2017-01-14,Friday the 13th Part 2,1981,https://letterboxd.com/malantonio/film/friday-the-13th-part-2/1/,4,"streaming, Hulu",2017-01-13
2017-01-16,The Thing,1982,https://letterboxd.com/malantonio/film/the-thing/2/,4.5,"digital, theater",2017-01-14
2017-01-16,Aerosmith - The Making of Pump,1990,https://letterboxd.com/malantonio/film/aerosmith-the-making-of-pump/,2.5,"youtube, streaming",2017-01-14
2017-01-16,Lucifer Rising,1972,https://letterboxd.com/malantonio/film/lucifer-rising/,3,"youtube, streaming",2017-01-15
2017-01-16,Hellraiser,1987,https://letterboxd.com/malantonio/film/hellraiser/,3,"streaming, netflix",2017-01-15
2017-01-16,Lo and Behold: Reveries of the Connected World,2016,https://letterboxd.com/malantonio/film/lo-and-behold-reveries-of-the-connected-world/,3.5,"netflix, streaming",2017-01-15
2017-03-07,Into the Abyss,2011,https://letterboxd.com/malantonio/film/into-the-abyss/,3,netflix,2017-01-15
2017-01-20,Terrifier,2011,https://letterboxd.com/malantonio/film/terrifier/,3,"streaming, vimeo",2017-01-19
2017-01-20,All Hallows' Eve,2013,https://letterboxd.com/malantonio/film/all-hallows-eve/,3,"streaming, youtube",2017-01-19
2017-01-23,Andy Warhol: A Documentary Film,2006,https://letterboxd.com/malantonio/film/andy-warhol-a-documentary-film/,3.5,dvd,2017-01-22
2017-01-26,Premium Rush,2012,https://letterboxd.com/malantonio/film/premium-rush/,3.5,"streaming, amazon",2017-01-25
2017-01-29,The Texas Chain Saw Massacre,1974,https://letterboxd.com/malantonio/film/the-texas-chain-saw-massacre/1/,4,DVD,2017-01-28
2017-02-02,Winter Light,1963,https://letterboxd.com/malantonio/film/winter-light/,4.5,"dvd, criterion",2017-02-01
2017-02-02,Swamp Ape,2017,https://letterboxd.com/malantonio/film/swamp-ape/,1.5,amazon,2017-02-01
2017-02-09,Arena,1989,https://letterboxd.com/malantonio/film/arena/,2.5,youtube,2017-02-08
2017-02-16,A Dog's Best Friend,1959,https://letterboxd.com/malantonio/film/a-dogs-best-friend/,3,"amazon, streaming, harry dean stanton",2017-02-15
2017-02-20,Vertigo,1958,https://letterboxd.com/malantonio/film/vertigo/,3.5,"streaming, google play",2017-02-19
2017-02-20,Psycho,1960,https://letterboxd.com/malantonio/film/psycho/,4.5,"streaming, google play",2017-02-19
2017-02-20,Children of Men,2006,https://letterboxd.com/malantonio/film/children-of-men/,4.5,"streaming, hbo",2017-02-19
2017-02-22,Fifty Shades of Grey,2015,https://letterboxd.com/malantonio/film/fifty-shades-of-grey/,3,"streaming, google play",2017-02-19
2017-02-27,Event Horizon,1997,https://letterboxd.com/malantonio/film/event-horizon/,3,laserdisc,2017-02-25
2017-02-27,Get Out,2017,https://letterboxd.com/malantonio/film/get-out-2017/,4,"digital, theater",2017-02-26
2017-03-05,10 Cloverfield Lane,2016,https://letterboxd.com/malantonio/film/10-cloverfield-lane/,3.5,"streaming, hulu",2017-03-04
2017-03-06,Stage Fright,1950,https://letterboxd.com/malantonio/film/stage-fright/,4,"35mm, colonial theatre, theater",2017-03-05
2017-03-07,All the President's Men,1976,https://letterboxd.com/malantonio/film/all-the-presidents-men/,4,"streaming, hbo",2017-03-06
2017-03-11,Friday the 13th Part III,1982,https://letterboxd.com/malantonio/film/friday-the-13th-part-iii/2/,3.5,"streaming, amazon",2017-03-11
2017-03-12,Sleepaway Camp,1983,https://letterboxd.com/malantonio/film/sleepaway-camp/1/,4,"streaming, amazon",2017-03-11
2017-03-13,Tickled,2016,https://letterboxd.com/malantonio/film/tickled/,4,"streaming, hbo",2017-03-12
2017-03-14,Arrival,2016,https://letterboxd.com/malantonio/film/arrival-2016/,4,"streaming, amazon",2017-03-13
