
Date,Name,Tags,URL,Description
2019-03-02,favorite firsts of 2019,,https://letterboxd.com/aghoulaghast/list/favorite-firsts-of-2019/,top ten (or so) of each month; ordered alphabetically. i hadn't seen these before. maybe it'll help me remember in december.

Position,Name,Year,URL,Description
1,Death Promise,1977,https://letterboxd.com/film/death-promise/,January
2,Destroyer,2018,https://letterboxd.com/film/destroyer-2018/,January
3,Exorcist II: The Heretic,1977,https://letterboxd.com/film/exorcist-ii-the-heretic/,January
4,The Favourite,2018,https://letterboxd.com/film/the-favourite/,January
5,First Reformed,2017,https://letterboxd.com/film/first-reformed/,January
6,Last Girl Standing,2015,https://letterboxd.com/film/last-girl-standing/,January
7,A Night at the Opera,1935,https://letterboxd.com/film/a-night-at-the-opera/,January
8,Terror In Beverly Hills,1989,https://letterboxd.com/film/terror-in-beverly-hills/,January
9,Thoroughbreds,2017,https://letterboxd.com/film/thoroughbreds-2017/,January
10,We Need to Talk About Kevin,2011,https://letterboxd.com/film/we-need-to-talk-about-kevin/,January
11,"Another Day, Another Man",1966,https://letterboxd.com/film/another-day-another-man/,
12,Bad Girls Go to Hell,1965,https://letterboxd.com/film/bad-girls-go-to-hell/,February
13,Beyond the Darkness,1979,https://letterboxd.com/film/beyond-the-darkness/,February
14,Cathy's Curse,1977,https://letterboxd.com/film/cathys-curse/,February
15,Horror Noire: A History of Black Horror,2019,https://letterboxd.com/film/horror-noire-a-history-of-black-horror/,February
16,Low Blow,1986,https://letterboxd.com/film/low-blow/,February
17,The Spell,1977,https://letterboxd.com/film/the-spell/,February
18,Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/,February
19,That's Sexploitation!,2013,https://letterboxd.com/film/thats-sexploitation/,February
20,The Violent Years,1956,https://letterboxd.com/film/the-violent-years/,February
21,Apollo 11,2019,https://letterboxd.com/film/apollo-11-2019/,March
22,Blood Beat,1983,https://letterboxd.com/film/blood-beat/,March
23,Criminally Insane,1975,https://letterboxd.com/film/criminally-insane/,March
24,I Am Divine,2013,https://letterboxd.com/film/i-am-divine/,March
25,Leaving Neverland,2019,https://letterboxd.com/film/leaving-neverland/,March
26,Mommy Dead and Dearest,2017,https://letterboxd.com/film/mommy-dead-and-dearest/,March
27,The Possessed,1975,https://letterboxd.com/film/the-possessed-1975-1/,March
28,"A Smell of Honey, a Swallow of Brine",1966,https://letterboxd.com/film/a-smell-of-honey-a-swallow-of-brine/,March
29,Twisted Pair,2018,https://letterboxd.com/film/twisted-pair/,March
30,Wendy and Lucy,2008,https://letterboxd.com/film/wendy-and-lucy/,March
31,The Curse of Her Flesh,1968,https://letterboxd.com/film/the-curse-of-her-flesh/,April
32,D.E.B.S.,2004,https://letterboxd.com/film/debs/,April
33,Deadly Weapons,1974,https://letterboxd.com/film/deadly-weapons/,April
34,The Endless,2017,https://letterboxd.com/film/the-endless/,April
35,Legacy of Satan,1974,https://letterboxd.com/film/legacy-of-satan/,April
36,Possum,2018,https://letterboxd.com/film/possum/,April
37,Something Weird,1967,https://letterboxd.com/film/something-weird/,April
38,Thunder Road,2018,https://letterboxd.com/film/thunder-road-2018/,April
39,Truck Stop Women,1974,https://letterboxd.com/film/truck-stop-women/,April
40,Us,2019,https://letterboxd.com/film/us-2019/,April
41,BlacKkKlansman,2018,https://letterboxd.com/film/blackkklansman/,May
42,Dressed to Kill,1980,https://letterboxd.com/film/dressed-to-kill-1980/,May
43,The Hole in the Ground,2019,https://letterboxd.com/film/the-hole-in-the-ground-2019/,May
44,Let Me Die a Woman,1977,https://letterboxd.com/film/let-me-die-a-woman/,May
45,Psychos in Love,1987,https://letterboxd.com/film/psychos-in-love/,May
46,Scum of the Earth!,1963,https://letterboxd.com/film/scum-of-the-earth/,May
47,She-Devils on Wheels,1968,https://letterboxd.com/film/she-devils-on-wheels/,May
48,She-Man: A Story of Fixation,1967,https://letterboxd.com/film/she-man-a-story-of-fixation/,May
49,Assault in Paradise,1977,https://letterboxd.com/film/assault-in-paradise/,June
50,But I'm a Cheerleader,1999,https://letterboxd.com/film/but-im-a-cheerleader/,june
51,Chained for Life,1952,https://letterboxd.com/film/chained-for-life/,june
52,The Driller Killer,1979,https://letterboxd.com/film/the-driller-killer/,june
53,God Knows Where I Am,2016,https://letterboxd.com/film/god-knows-where-i-am/,june
54,Masters of the Universe,1987,https://letterboxd.com/film/masters-of-the-universe/,june
55,Tombs of the Blind Dead,1972,https://letterboxd.com/film/tombs-of-the-blind-dead/,june
56,Bad Black,2016,https://letterboxd.com/film/bad-black/,july
57,Bad Lieutenant,1992,https://letterboxd.com/film/bad-lieutenant/,july
58,Bob le Flambeur,1956,https://letterboxd.com/film/bob-le-flambeur/,july
59,Hot Cars,1956,https://letterboxd.com/film/hot-cars/,july
60,"I Love You, Now Die: The Commonwealth v. Michelle Carter",2019,https://letterboxd.com/film/i-love-you-now-die-the-commonwealth-v-michelle-carter/,july
61,Midsommar,2019,https://letterboxd.com/film/midsommar/,july
62,Once Upon a Time… in Hollywood,2019,https://letterboxd.com/film/once-upon-a-time-in-hollywood/,july
63,Rats: Night of Terror,1984,https://letterboxd.com/film/rats-night-of-terror/,july
