
Date,Name,Tags,URL,Description
2017-07-13,halloween fest 2k17 (ideas for),,https://letterboxd.com/aghoulaghast/list/halloween-fest-2k17-ideas-for/,"31 horror movies i've never seen, throughout the month of october"

Position,Name,Year,URL,Description
1,I Am the Pretty Thing That Lives in the House,2016,https://letterboxd.com/film/i-am-the-pretty-thing-that-lives-in-the-house/,
2,Death Machine,1994,https://letterboxd.com/film/death-machine/,
3,Exorcist II: The Heretic,1977,https://letterboxd.com/film/exorcist-ii-the-heretic/,
4,The Exorcist III,1990,https://letterboxd.com/film/the-exorcist-iii/,
5,The Cremator,1969,https://letterboxd.com/film/the-cremator/,
6,Braindead,1992,https://letterboxd.com/film/braindead-1992/,
7,Day of the Dead,1985,https://letterboxd.com/film/day-of-the-dead/,
8,[REC],2007,https://letterboxd.com/film/rec/,
9,Maniac,2012,https://letterboxd.com/film/maniac-2012/,
10,The Brood,1979,https://letterboxd.com/film/the-brood/,
11,Night of the Demons,1988,https://letterboxd.com/film/night-of-the-demons/,
12,Creepshow 2,1987,https://letterboxd.com/film/creepshow-2/,
13,Night of the Creeps,1986,https://letterboxd.com/film/night-of-the-creeps/,
14,Salem's Lot,1979,https://letterboxd.com/film/salems-lot/,
15,Behind the Mask: The Rise of Leslie Vernon,2006,https://letterboxd.com/film/behind-the-mask-the-rise-of-leslie-vernon/,
16,The Frighteners,1996,https://letterboxd.com/film/the-frighteners/,
17,The Eyes of My Mother,2016,https://letterboxd.com/film/the-eyes-of-my-mother/,
18,Tusk,2014,https://letterboxd.com/film/tusk-2014/,
19,Creep,2014,https://letterboxd.com/film/creep-2014/,
20,New Nightmare,1994,https://letterboxd.com/film/new-nightmare/,
21,Death Sentence,2007,https://letterboxd.com/film/death-sentence-2007/,
22,The Autopsy of Jane Doe,2016,https://letterboxd.com/film/the-autopsy-of-jane-doe/,
23,Martin,1978,https://letterboxd.com/film/martin/,
24,Hungry Wives,1972,https://letterboxd.com/film/hungry-wives/,
25,Kuroneko,1968,https://letterboxd.com/film/kuroneko/,
26,Tales from the Crypt,1972,https://letterboxd.com/film/tales-from-the-crypt/,
27,Children Shouldn't Play with Dead Things,1972,https://letterboxd.com/film/children-shouldnt-play-with-dead-things/,
28,One Dark Night,1982,https://letterboxd.com/film/one-dark-night/,
29,Two Evil Eyes,1990,https://letterboxd.com/film/two-evil-eyes/,
30,I Drink Your Blood,1970,https://letterboxd.com/film/i-drink-your-blood/,
31,I Eat Your Skin,1971,https://letterboxd.com/film/i-eat-your-skin/,
32,Horror Express,1972,https://letterboxd.com/film/horror-express/,
33,The Hills Have Eyes,1977,https://letterboxd.com/film/the-hills-have-eyes/,
34,The Hills Have Eyes Part 2,1984,https://letterboxd.com/film/the-hills-have-eyes-part-2/,
35,The Children,1980,https://letterboxd.com/film/the-children-1980/,
36,Psychomania,1973,https://letterboxd.com/film/psychomania/,
37,Piranha,1978,https://letterboxd.com/film/piranha/,
38,Scooby-Doo! and the Witch's Ghost,1999,https://letterboxd.com/film/scooby-doo-and-the-witchs-ghost/,
39,Cujo,1983,https://letterboxd.com/film/cujo/,
40,Honeymoon,2014,https://letterboxd.com/film/honeymoon-2014/,
