
Date,Name,Tags,URL,Description
2017-07-15,movies i saw in 2014,,https://letterboxd.com/aghoulaghast/list/movies-i-saw-in-2014-1/,"before letterboxd, i kept a running list of movies i watched. see <a href=""https://partylifestyle.tumblr.com/movies14"">original list</a>"

Position,Name,Year,URL,Description
1,Star Wars,1977,https://letterboxd.com/film/star-wars/,
2,The Empire Strikes Back,1980,https://letterboxd.com/film/the-empire-strikes-back/,
3,Return of the Jedi,1983,https://letterboxd.com/film/return-of-the-jedi/,
4,Die Hard 2,1990,https://letterboxd.com/film/die-hard-2/,
5,Salinger,2013,https://letterboxd.com/film/salinger/,
6,Our Nixon,2013,https://letterboxd.com/film/our-nixon/,
7,American Hustle,2013,https://letterboxd.com/film/american-hustle/,
8,The Place Beyond the Pines,2012,https://letterboxd.com/film/the-place-beyond-the-pines/,
9,Fast & Furious 6,2013,https://letterboxd.com/film/fast-furious-6/,
10,The Square,2013,https://letterboxd.com/film/the-square-2013/,
11,Bobby Fischer Against the World,2011,https://letterboxd.com/film/bobby-fischer-against-the-world/,
12,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/,
13,A Woman's Rage,2008,https://letterboxd.com/film/a-womans-rage/,
14,"Nightmares in Red, White and Blue",2009,https://letterboxd.com/film/nightmares-in-red-white-and-blue/,
15,Nebraska,2013,https://letterboxd.com/film/nebraska/,
16,Her,2013,https://letterboxd.com/film/her/,
17,The Wolf of Wall Street,2013,https://letterboxd.com/film/the-wolf-of-wall-street/,
18,Gravity,2013,https://letterboxd.com/film/gravity-2013/,
19,Hard as Nails,2007,https://letterboxd.com/film/hard-as-nails-2007/,
20,Inside Llewyn Davis,2013,https://letterboxd.com/film/inside-llewyn-davis/,
21,Ransom,1996,https://letterboxd.com/film/ransom/,
22,Breadcrumb Trail,2014,https://letterboxd.com/film/breadcrumb-trail/,
23,Dogville,2003,https://letterboxd.com/film/dogville/,
24,Dallas Buyers Club,2013,https://letterboxd.com/film/dallas-buyers-club/,
25,The Sandlot,1993,https://letterboxd.com/film/the-sandlot/,
26,Puce Moment,1949,https://letterboxd.com/film/puce-moment/,
27,Un Chien Andalou,1929,https://letterboxd.com/film/un-chien-andalou/,
28,The Town,2010,https://letterboxd.com/film/the-town/,
29,Milius,2013,https://letterboxd.com/film/milius/,
30,A Band Called Death,2012,https://letterboxd.com/film/a-band-called-death/,
31,Jodorowsky's Dune,2013,https://letterboxd.com/film/jodorowskys-dune/,
32,Dog Star Man,1965,https://letterboxd.com/film/dog-star-man/,
33,The Act of Seeing with One's Own Eyes,1972,https://letterboxd.com/film/the-act-of-seeing-with-ones-own-eyes/,
34,Friday the 13th,1980,https://letterboxd.com/film/friday-the-13th/,
35,An American Werewolf in London,1981,https://letterboxd.com/film/an-american-werewolf-in-london/,
36,Twin Peaks: Fire Walk with Me,1992,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/,
37,The Internet's Own Boy: The Story of Aaron Swartz,2014,https://letterboxd.com/film/the-internets-own-boy-the-story-of-aaron-swartz/,
38,Night and Fog,1956,https://letterboxd.com/film/night-and-fog/,
39,Harry Dean Stanton: Partly Fiction,2012,https://letterboxd.com/film/harry-dean-stanton-partly-fiction/,
40,The Greatest Movie Ever Rolled,2013,https://letterboxd.com/film/the-greatest-movie-ever-rolled/,
41,The Maltese Falcon,1941,https://letterboxd.com/film/the-maltese-falcon-1941/,
42,Stranger on the Third Floor,1940,https://letterboxd.com/film/stranger-on-the-third-floor/,
43,I Wake Up Screaming,1941,https://letterboxd.com/film/i-wake-up-screaming/,
44,The Big Sleep,1946,https://letterboxd.com/film/the-big-sleep/,
45,Inside Job,2010,https://letterboxd.com/film/inside-job-2010/,
46,Thrill of the Kill,2006,https://letterboxd.com/film/thrill-of-the-kill/,
47,The Bakery Girl of Monceau,1963,https://letterboxd.com/film/the-bakery-girl-of-monceau/,
48,"Murder, My Sweet",1944,https://letterboxd.com/film/murder-my-sweet/,
49,Double Indemnity,1944,https://letterboxd.com/film/double-indemnity/,
50,Shoot the Piano Player,1960,https://letterboxd.com/film/shoot-the-piano-player/,
