
Date,Name,Tags,URL,Description
2017-07-28,"the Mahoning Drive-In Theater, 2017 Season",,https://letterboxd.com/aghoulaghast/list/the-mahoning-drive-in-theater-2017-season/,Films shown at the Mahoning Drive-In Theater in 2017

Position,Name,Year,URL,Description
1,The Wizard of Oz,1939,https://letterboxd.com/film/the-wizard-of-oz-1939/,"2017 Season Premiere: April 28 - 29, 2017"
2,Willy Wonka & the Chocolate Factory,1971,https://letterboxd.com/film/willy-wonka-the-chocolate-factory/,"2017 Season Premiere: April 28 - 29, 2017"
3,Weird Science,1985,https://letterboxd.com/film/weird-science/,"80's Party Weekend: May 5 - 6, 2017"
4,Footloose,1984,https://letterboxd.com/film/footloose/,"80's Party Weekend: May 5 - 6, 2017"
5,Ultraman X the Movie: Here Comes! Our Ultraman,2016,https://letterboxd.com/film/ultraman-x-the-movie-here-comes-our-ultraman/,"Ultrafest: Ultraman Double Feature: May 12 - 13, 2017"
6,Ultraman Ginga S the Movie: Showdown! The 10 Ultra Warriors!,2015,https://letterboxd.com/film/ultraman-ginga-s-the-movie-showdown-the-10-ultra-warriors/,"Ultrafest: Ultraman Double Feature: May 12 - 13, 2017"
7,Spaceballs,1987,https://letterboxd.com/film/spaceballs/,"Mel Brooks - Director Spotlight: May 19 - 20, 2017"
8,Blazing Saddles,1974,https://letterboxd.com/film/blazing-saddles/,"Mel Brooks - Director Spotlight: May 19 - 20, 2017"
9,Night of the Comet,1984,https://letterboxd.com/film/night-of-the-comet/,"Zombiefest III, Night 1: May 26, 2017"
10,Rabid,1977,https://letterboxd.com/film/rabid/,"Zombiefest III, Night 1: May 26, 2017"
11,Invasion of the Flesh Hunters,1980,https://letterboxd.com/film/invasion-of-the-flesh-hunters/,"Zombiefest III, Night 1: May 26, 2017"
12,The Evil Dead,1981,https://letterboxd.com/film/the-evil-dead/,"Zombiefest III, Night 2: May 27, 2017"
13,Evil Dead II,1987,https://letterboxd.com/film/evil-dead-ii/,"Zombiefest III, Night 2: May 27, 2017"
14,Army of Darkness,1992,https://letterboxd.com/film/army-of-darkness/,"Zombiefest III, Night 2: May 27, 2017"
15,Raiders of the Living Dead,1986,https://letterboxd.com/film/raiders-of-the-living-dead/,"Zombiefest III, Night 3: May 28, 2017"
16,Creepshow,1982,https://letterboxd.com/film/creepshow/,"Zombiefest III, Night 3: May 28, 2017"
17,Land of the Dead,2005,https://letterboxd.com/film/land-of-the-dead/,"Zombiefest III, Night 3: May 28, 2017"
18,2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/,"Stanley Kubrick - Director Spotlight: June 2 - 3, 2017"
19,A Clockwork Orange,1971,https://letterboxd.com/film/a-clockwork-orange/,"Stanley Kubrick - Director Spotlight: June 2 - 3, 2017"
20,The Lost Boys,1987,https://letterboxd.com/film/the-lost-boys/,"Vampyrty - 2017: June 9 - 10, 2017"
21,Fright Night,1985,https://letterboxd.com/film/fright-night/,"Vampyrty - 2017: June 9 - 10, 2017"
22,Vampire's Kiss,1988,https://letterboxd.com/film/vampires-kiss/,"Vampyrty - 2017: June 9 - 10, 2017"
23,Batman,1989,https://letterboxd.com/film/batman-1989/,"Batman & Burton - Director Spotlight: June 16 - 17, 2017"
24,Batman Returns,1992,https://letterboxd.com/film/batman-returns/,"Batman & Burton - Director Spotlight: June 16 - 17, 2017"
25,Grizzly,1976,https://letterboxd.com/film/grizzly/,"Animals Gone Wild!, Night 1: June 23, 2017"
26,Night of the Lepus,1972,https://letterboxd.com/film/night-of-the-lepus/,"Animals Gone Wild!, Night 1: June 23, 2017"
27,Day of the Animals,1977,https://letterboxd.com/film/day-of-the-animals/,"Animals Gone Wild!, Night 1: June 23, 2017"
28,Squirm,1976,https://letterboxd.com/film/squirm/,"Animals Gone Wild!, Night 2: June 24, 2017"
29,Frogs,1972,https://letterboxd.com/film/frogs/,"Animals Gone Wild!, Night 2: June 24, 2017"
30,Kingdom of the Spiders,1977,https://letterboxd.com/film/kingdom-of-the-spiders/,"Animals Gone Wild!, Night 2: June 24, 2017"
31,Back to the Future,1985,https://letterboxd.com/film/back-to-the-future/,"Back to the Future Trilogy: June 30 - July 2, 2017"
32,Back to the Future Part II,1989,https://letterboxd.com/film/back-to-the-future-part-ii/,"Back to the Future Trilogy: June 30 - July 2, 2017"
33,Back to the Future Part III,1990,https://letterboxd.com/film/back-to-the-future-part-iii/,"Back to the Future Trilogy: June 30 - July 2, 2017"
34,Video Violence,1987,https://letterboxd.com/film/video-violence/,
35,Video Violence 2,1987,https://letterboxd.com/film/video-violence-2/,
