
Date,Name,Tags,URL,Description
2019-12-14,2010s favorites,,https://letterboxd.com/aghoulaghast/list/2010s-favorites/,for cinepunx

Position,Name,Year,URL,Description
1,Bad Black,2016,https://letterboxd.com/film/bad-black/,
2,Fateful Findings,2013,https://letterboxd.com/film/fateful-findings/,
3,First Reformed,2017,https://letterboxd.com/film/first-reformed/,
4,Hereditary,2018,https://letterboxd.com/film/hereditary/,
5,The Master,2012,https://letterboxd.com/film/the-master-2012/,
6,Meek's Cutoff,2010,https://letterboxd.com/film/meeks-cutoff/,
7,A Spell to Ward Off the Darkness,2013,https://letterboxd.com/film/a-spell-to-ward-off-the-darkness/,
8,The Turin Horse,2011,https://letterboxd.com/film/the-turin-horse/,
9,The Witch,2015,https://letterboxd.com/film/the-witch-2015/,
