
Date,Name,Tags,URL,Description
2020-01-01,2019 favorites,,https://letterboxd.com/aghoulaghast/list/2019-favorites/,

Position,Name,Year,URL,Description
1,Booksmart,2019,https://letterboxd.com/film/booksmart/,
2,Dolemite Is My Name,2019,https://letterboxd.com/film/dolemite-is-my-name/,
3,The Hole in the Ground,2019,https://letterboxd.com/film/the-hole-in-the-ground-2019/,
4,The Irishman,2019,https://letterboxd.com/film/the-irishman-2019/,
5,The Lighthouse,2019,https://letterboxd.com/film/the-lighthouse-2019/,
6,Luz,2018,https://letterboxd.com/film/luz-2018/,
7,Midsommar,2019,https://letterboxd.com/film/midsommar/,
8,Parasite,2019,https://letterboxd.com/film/parasite-2019/,
9,Uncut Gems,2019,https://letterboxd.com/film/uncut-gems/,
10,Us,2019,https://letterboxd.com/film/us-2019/,
