
Date,Name,Tags,URL,Description
2019-03-27,"52 films by women, 2019",,https://letterboxd.com/aghoulaghast/list/52-films-by-women-2019/,new to me: 48/52

Position,Name,Year,URL,Description
1,Diary of a Nudist,1961,https://letterboxd.com/film/diary-of-a-nudist/,
2,Destroyer,2018,https://letterboxd.com/film/destroyer-2018/,
3,We Need to Talk About Kevin,2011,https://letterboxd.com/film/we-need-to-talk-about-kevin/,
4,Bad Girls Go to Hell,1965,https://letterboxd.com/film/bad-girls-go-to-hell/,
5,"Another Day, Another Man",1966,https://letterboxd.com/film/another-day-another-man/,
6,Mommy Dead and Dearest,2017,https://letterboxd.com/film/mommy-dead-and-dearest/,
7,Love You To Death,2019,https://letterboxd.com/film/love-you-to-death-2019/,
8,There's Something Wrong with Aunt Diane,2011,https://letterboxd.com/film/theres-something-wrong-with-aunt-diane/,
9,Cléo from 5 to 7,1962,https://letterboxd.com/film/cleo-from-5-to-7/,
10,Wendy and Lucy,2008,https://letterboxd.com/film/wendy-and-lucy/,
11,Indecent Desires,1968,https://letterboxd.com/film/indecent-desires/,
12,D.E.B.S.,2004,https://letterboxd.com/film/debs/,
13,Deadly Weapons,1974,https://letterboxd.com/film/deadly-weapons/,
14,Double Agent 73,1974,https://letterboxd.com/film/double-agent-73/,
15,Let Me Die a Woman,1977,https://letterboxd.com/film/let-me-die-a-woman/,
16,My Brother's Wife,1966,https://letterboxd.com/film/my-brothers-wife/,
17,But I'm a Cheerleader,1999,https://letterboxd.com/film/but-im-a-cheerleader/,
18,Hollywood Vice Squad,1986,https://letterboxd.com/film/hollywood-vice-squad/,
19,"I Love You, Now Die: The Commonwealth v. Michelle Carter",2019,https://letterboxd.com/film/i-love-you-now-die-the-commonwealth-v-michelle-carter/,
20,Thought Crimes,2015,https://letterboxd.com/film/thought-crimes/,
21,The Immoral Three,1975,https://letterboxd.com/film/the-immoral-three/,
22,Flowers in the Attic,2014,https://letterboxd.com/film/flowers-in-the-attic-2014/,
23,The Great Hack,2019,https://letterboxd.com/film/the-great-hack/,
24,Freddy's Dead: The Final Nightmare,1991,https://letterboxd.com/film/freddys-dead-the-final-nightmare/,
25,The Bye Bye Man,2017,https://letterboxd.com/film/the-bye-bye-man/,
26,Meshes of the Afternoon,1943,https://letterboxd.com/film/meshes-of-the-afternoon/,
27,Sun Don't Shine,2012,https://letterboxd.com/film/sun-dont-shine/,
28,Olivia,1951,https://letterboxd.com/film/olivia-1951/,
29,Deadly Switch,2019,https://letterboxd.com/film/deadly-switch/,
30,Night Moves,2013,https://letterboxd.com/film/night-moves-2013/,
31,Revenge,2017,https://letterboxd.com/film/revenge-2017-1/,
32,Meek's Cutoff,2010,https://letterboxd.com/film/meeks-cutoff/,
33,A Vigilante,2018,https://letterboxd.com/film/a-vigilante/,
34,Lyle,2014,https://letterboxd.com/film/lyle/,
35,The Rage: Carrie 2,1999,https://letterboxd.com/film/the-rage-carrie-2/,
36,River of Grass,1994,https://letterboxd.com/film/river-of-grass/,
37,Woodshock,2017,https://letterboxd.com/film/woodshock-2017/,
38,A Taste of Flesh,1967,https://letterboxd.com/film/a-taste-of-flesh/,
39,The Nightingale,2018,https://letterboxd.com/film/the-nightingale-2018/,
40,The Sex Perils of Paulette,1965,https://letterboxd.com/film/the-sex-perils-of-paulette/,
41,Stripped to Kill,1987,https://letterboxd.com/film/stripped-to-kill/,
42,Booksmart,2019,https://letterboxd.com/film/booksmart/,
43,High Life,2018,https://letterboxd.com/film/high-life-2018/,
44,The Wind,2018,https://letterboxd.com/film/the-wind-2018/,
45,A Girl Walks Home Alone at Night,2014,https://letterboxd.com/film/a-girl-walks-home-alone-at-night/,
46,Mary Jane's Not a Virgin Anymore,1996,https://letterboxd.com/film/mary-janes-not-a-virgin-anymore/,
47,I Was a Teenage Serial Killer,1993,https://letterboxd.com/film/i-was-a-teenage-serial-killer/,
48,Humanoids from the Deep,1980,https://letterboxd.com/film/humanoids-from-the-deep/,
49,The Notorious Bettie Page,2005,https://letterboxd.com/film/the-notorious-bettie-page/,
50,The Hitch-Hiker,1953,https://letterboxd.com/film/the-hitch-hiker/,
51,Green,2011,https://letterboxd.com/film/green-2011/,
52,Always Shine,2016,https://letterboxd.com/film/always-shine/,
