
Date,Name,Tags,URL,Description
2018-03-19,a Great and Terrible Golden Age - Movies of the 1930s,,https://letterboxd.com/malantonio/list/a-great-and-terrible-golden-age-movies-of/,"Films covered <em>A Gret and Terrible Golden Age: Movies of the 1930s</em>, volumes 1 - 3."

Position,Name,Year,URL,Description
1,Dracula,1931,https://letterboxd.com/film/dracula-1931/,
2,Dinner at Eight,1933,https://letterboxd.com/film/dinner-at-eight/,
3,The Thin Man,1934,https://letterboxd.com/film/the-thin-man/,
4,My Man Godfrey,1936,https://letterboxd.com/film/my-man-godfrey/,
5,Stage Door,1937,https://letterboxd.com/film/stage-door/,
6,Fast Workers,1933,https://letterboxd.com/film/fast-workers/,
7,Baby Face,1933,https://letterboxd.com/film/baby-face/,
8,Blondie,1938,https://letterboxd.com/film/blondie-1938/,
9,Mannequin,1937,https://letterboxd.com/film/mannequin/,
10,Design for Living,1933,https://letterboxd.com/film/design-for-living/,
11,Island of Lost Souls,1932,https://letterboxd.com/film/island-of-lost-souls/,
12,Snow White and the Seven Dwarfs,1937,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/,
13,Cosmic Journey,1936,https://letterboxd.com/film/cosmic-journey/,
14,Forsaking All Others,1934,https://letterboxd.com/film/forsaking-all-others/,
15,One Hour with You,1932,https://letterboxd.com/film/one-hour-with-you/,
16,To New Shores,1937,https://letterboxd.com/film/to-new-shores/,
17,Ninotchka,1939,https://letterboxd.com/film/ninotchka/,
18,The Sign of the Cross,1932,https://letterboxd.com/film/the-sign-of-the-cross/,
19,Four Frightened People,1934,https://letterboxd.com/film/four-frightened-people/,
20,It Happened One Night,1934,https://letterboxd.com/film/it-happened-one-night/,
21,Cleopatra,1934,https://letterboxd.com/film/cleopatra-1934/,
22,Imitation of Life,1934,https://letterboxd.com/film/imitation-of-life/,
