
Date,Name,Tags,URL,Description
2017-04-06,"Featured on ""You Must Remember This""","you must remember this, podcast, hollywood",https://letterboxd.com/aghoulaghast/list/featured-on-you-must-remember-this/,Culled from http://www.youmustrememberthispodcast.com/film-club/

Position,Name,Year,URL,Description
1,Cat People,1942,https://letterboxd.com/film/cat-people/,
2,Frances,1982,https://letterboxd.com/film/frances/,
3,A Star Is Born,1954,https://letterboxd.com/film/a-star-is-born-1954/,
4,Blue Velvet,1986,https://letterboxd.com/film/blue-velvet/,
5,Hell's Angels,1930,https://letterboxd.com/film/hells-angels/,
6,Outrage,1950,https://letterboxd.com/film/outrage-1950/,
7,The Big Knife,1955,https://letterboxd.com/film/the-big-knife/,
8,Jewel Robbery,1932,https://letterboxd.com/film/jewel-robbery/,
9,One Way Passage,1932,https://letterboxd.com/film/one-way-passage/,
10,Trouble in Paradise,1932,https://letterboxd.com/film/trouble-in-paradise/,
11,The Philadelphia Story,1940,https://letterboxd.com/film/the-philadelphia-story/,
12,At Close Range,1986,https://letterboxd.com/film/at-close-range/,
13,Desperately Seeking Susan,1985,https://letterboxd.com/film/desperately-seeking-susan/,
14,Casablanca,1942,https://letterboxd.com/film/casablanca/,
15,The Big Sleep,1946,https://letterboxd.com/film/the-big-sleep/,
16,To Have and Have Not,1944,https://letterboxd.com/film/to-have-and-have-not/,
17,Dick Tracy,1990,https://letterboxd.com/film/dick-tracy/,
18,Madonna: Truth or Dare,1991,https://letterboxd.com/film/madonna-truth-or-dare/,
19,Last Tango in Paris,1972,https://letterboxd.com/film/last-tango-in-paris/,
20,A Fool There Was,1915,https://letterboxd.com/film/a-fool-there-was/,
21,The Outlaw,1943,https://letterboxd.com/film/the-outlaw/,
22,One Million Years B.C.,1966,https://letterboxd.com/film/one-million-years-bc/,
23,A Place in the Sun,1951,https://letterboxd.com/film/a-place-in-the-sun/,
24,A Star Is Born,1976,https://letterboxd.com/film/a-star-is-born-1976/,
25,Sabrina,1954,https://letterboxd.com/film/sabrina/,
26,Rosemary's Baby,1968,https://letterboxd.com/film/rosemarys-baby/,
27,John and Mary,1969,https://letterboxd.com/film/john-and-mary/,
28,Enter the Dragon,1973,https://letterboxd.com/film/enter-the-dragon/,
29,The Crow,1994,https://letterboxd.com/film/the-crow/,
30,Hollywood Canteen,1944,https://letterboxd.com/film/hollywood-canteen/,
31,To Be or Not to Be,1942,https://letterboxd.com/film/to-be-or-not-to-be/,
32,Nothing Sacred,1937,https://letterboxd.com/film/nothing-sacred/,
33,Algiers,1938,https://letterboxd.com/film/algiers/,
34,Laura,1944,https://letterboxd.com/film/laura/,
35,The Lady from Shanghai,1947,https://letterboxd.com/film/the-lady-from-shanghai/,
36,A Foreign Affair,1948,https://letterboxd.com/film/a-foreign-affair/,
37,Cabin in the Sky,1943,https://letterboxd.com/film/cabin-in-the-sky/,
38,The Asphalt Jungle,1950,https://letterboxd.com/film/the-asphalt-jungle/,
39,In This Our Life,1942,https://letterboxd.com/film/in-this-our-life/,
40,The Adventures of Robin Hood,1938,https://letterboxd.com/film/the-adventures-of-robin-hood/,
41,The Great Dictator,1940,https://letterboxd.com/film/the-great-dictator/,
42,Holiday Inn,1942,https://letterboxd.com/film/holiday-inn/,
43,The Three Caballeros,1944,https://letterboxd.com/film/the-three-caballeros/,
44,Anchors Aweigh,1945,https://letterboxd.com/film/anchors-aweigh/,
45,They Were Expendable,1945,https://letterboxd.com/film/they-were-expendable/,
46,A Guy Named Joe,1943,https://letterboxd.com/film/a-guy-named-joe/,
47,Easy Rider,1969,https://letterboxd.com/film/easy-rider/,
