
Date,Name,Tags,URL,Description
2017-10-04,halloween fest 2k17,,https://letterboxd.com/aghoulaghast/list/halloween-fest-2k17/,I'm gonna try and watch 31 horror movies that I've never seen before. [october 2017]

Position,Name,Year,URL,Description
1,The Mutilator,1984,https://letterboxd.com/film/the-mutilator/,
2,Day of the Dead,1985,https://letterboxd.com/film/day-of-the-dead/,
3,Train to Busan,2016,https://letterboxd.com/film/train-to-busan/,
4,The Eyes of My Mother,2016,https://letterboxd.com/film/the-eyes-of-my-mother/,
5,I Drink Your Blood,1970,https://letterboxd.com/film/i-drink-your-blood/,
6,Creep,2014,https://letterboxd.com/film/creep-2014/,
7,The Monster Squad,1987,https://letterboxd.com/film/the-monster-squad/,
8,Night of the Creeps,1986,https://letterboxd.com/film/night-of-the-creeps/,
9,Raw,2016,https://letterboxd.com/film/raw-2016/,
10,Honeymoon,2014,https://letterboxd.com/film/honeymoon-2014/,
11,Black Devil Doll from Hell,1984,https://letterboxd.com/film/black-devil-doll-from-hell/,
12,Fright Night,1985,https://letterboxd.com/film/fright-night/,
13,The Collector,2009,https://letterboxd.com/film/the-collector-2009/,
14,The Fly II,1989,https://letterboxd.com/film/the-fly-ii/,
15,The Prowler,1981,https://letterboxd.com/film/the-prowler-1981/,
16,Gerald's Game,2017,https://letterboxd.com/film/geralds-game/,
17,Frankenstein,1931,https://letterboxd.com/film/frankenstein-1931/,
18,The Babysitter,2017,https://letterboxd.com/film/the-babysitter-2017/,
19,Maniac,2012,https://letterboxd.com/film/maniac-2012/,
20,Dracula,1931,https://letterboxd.com/film/dracula/,
21,Happy Death Day,2017,https://letterboxd.com/film/happy-death-day/,
22,The Bride of Frankenstein,1935,https://letterboxd.com/film/the-bride-of-frankenstein/,
23,White Zombie,1932,https://letterboxd.com/film/white-zombie/,
24,The Cannibal Man,1972,https://letterboxd.com/film/the-cannibal-man/,
25,Children of the Corn,1984,https://letterboxd.com/film/children-of-the-corn/,
26,Anguish,1987,https://letterboxd.com/film/anguish/,
27,Pumpkinhead,1988,https://letterboxd.com/film/pumpkinhead/,
28,The Changeling,1980,https://letterboxd.com/film/the-changeling/,
29,The Mist,2007,https://letterboxd.com/film/the-mist/,
30,Without Warning,1980,https://letterboxd.com/film/without-warning-1980/,
31,Satan's School for Girls,1973,https://letterboxd.com/film/satans-school-for-girls/,
32,"I, Madman",1989,https://letterboxd.com/film/i-madman/,
