
Date,Name,Tags,URL,Description
2019-11-11,Mill Creek Entertainment's B-Movie Blast,,https://letterboxd.com/aghoulaghast/list/mill-creek-entertainments-b-movie-blast/,"I wouldn’t be surprised if this existed elsewhere, but these are the movies included in the B-Movie Black box."

Position,Name,Year,URL,Description
1,Rivers of Fire and Ice,1968,https://letterboxd.com/film/rivers-of-fire-and-ice/,
2,Almost Hollywood,1994,https://letterboxd.com/film/almost-hollywood/,
3,The Beach Girls,1982,https://letterboxd.com/film/the-beach-girls/,
4,Brain Twisters,1991,https://letterboxd.com/film/brain-twisters/,
5,Burnout,1979,https://letterboxd.com/film/burnout/,
6,Cavegirl,1985,https://letterboxd.com/film/cavegirl/,
7,Coach,1978,https://letterboxd.com/film/coach/,
8,Dangerous Charter,1962,https://letterboxd.com/film/dangerous-charter/,
9,Death Machines,1976,https://letterboxd.com/film/death-machines/,
10,Deathrow Gameshow,1987,https://letterboxd.com/film/deathrow-gameshow/,
11,Embryo,1976,https://letterboxd.com/film/embryo/,
12,End of the World,1977,https://letterboxd.com/film/end-of-the-world-1977/,
13,Escape from Hell Island,1963,https://letterboxd.com/film/escape-from-hell-island/,
14,Fleshburn,1984,https://letterboxd.com/film/fleshburn/,
15,Galaxina,1980,https://letterboxd.com/film/galaxina/,
16,Hell on Wheels,1967,https://letterboxd.com/film/hell-on-wheels-1967/,
17,The Hellcats,1968,https://letterboxd.com/film/the-hellcats/,
18,The Hostage,1967,https://letterboxd.com/film/the-hostage/,
19,Hunk,1987,https://letterboxd.com/film/hunk/,
20,Indian Paint,1965,https://letterboxd.com/film/indian-paint/,
21,Iron Angel,1964,https://letterboxd.com/film/iron-angel/,
22,Jocks,1986,https://letterboxd.com/film/jocks/,
23,The Kidnapping of the President,1980,https://letterboxd.com/film/the-kidnapping-of-the-president/,
24,Killpoint,1984,https://letterboxd.com/film/killpoint/,
25,Las Vegas Lady,1975,https://letterboxd.com/film/las-vegas-lady/,
26,Lena's Holiday,1991,https://letterboxd.com/film/lenas-holiday/,
27,Liar's Moon,1982,https://letterboxd.com/film/liars-moon/,
28,Low Blow,1986,https://letterboxd.com/film/low-blow/,
29,My Mom's a Werewolf,1989,https://letterboxd.com/film/my-moms-a-werewolf/,
30,My Tutor,1983,https://letterboxd.com/film/my-tutor/,
31,9 Deaths of the Ninja,1985,https://letterboxd.com/film/9-deaths-of-the-ninja-1985/,
32,The Patriot,1986,https://letterboxd.com/film/the-patriot-1986/,
33,Prime Evil,1988,https://letterboxd.com/film/prime-evil/,
34,The Road to Nashville,1966,https://letterboxd.com/film/the-road-to-nashville/,
35,Santee,1973,https://letterboxd.com/film/santee/,
36,Secret File: Hollywood,1962,https://letterboxd.com/film/secret-file-hollywood/,
37,Ross Hagen in  Sidehackers aka Five the Hard Way,,https://letterboxd.com/film/ross-hagen-in-sidehackers-aka-five-the-hard-way/,
38,The Silencer,1992,https://letterboxd.com/film/the-silencer-1992/,
39,The Skydivers,1963,https://letterboxd.com/film/the-skydivers/,
40,The Specialist,1975,https://letterboxd.com/film/the-specialist-1975/,
41,Stanley,1972,https://letterboxd.com/film/stanley/,
42,Superchick,1973,https://letterboxd.com/film/superchick/,
43,Terror,1978,https://letterboxd.com/film/terror/,
44,Terror in the Jungle,1968,https://letterboxd.com/film/terror-in-the-jungle/,
45,Tomboy,1985,https://letterboxd.com/film/tomboy/,
46,Top Cop,1990,https://letterboxd.com/film/top-cop/,
47,Weekend Pass,1984,https://letterboxd.com/film/weekend-pass/,
48,Wild Rebels,1967,https://letterboxd.com/film/wild-rebels/,
49,Wild Riders,1971,https://letterboxd.com/film/wild-riders/,
50,The Young Graduates,1971,https://letterboxd.com/film/the-young-graduates/,
