
Date,Name,Tags,URL,Description
2017-07-15,movies i saw in 2012,,https://letterboxd.com/malantonio/list/movies-i-saw-in-2012/,"before letterboxd, i kept a running list of movies i watched. see <a href=""https://partylifestyle.tumblr.com/movies12"">original list</a>"

Position,Name,Year,URL,Description
1,Shame,1968,https://letterboxd.com/film/shame/,
2,The Fog,1980,https://letterboxd.com/film/the-fog/,
3,The Devil Inside,2012,https://letterboxd.com/film/the-devil-inside/,
4,The Arrival of a Train at La Ciotat,1896,https://letterboxd.com/film/the-arrival-of-a-train-at-la-ciotat/,
5,Melancholia,2011,https://letterboxd.com/film/melancholia/,
6,Friday the 13th Part VII: The New Blood,1988,https://letterboxd.com/film/friday-the-13th-part-vii-the-new-blood/,
7,Paranormal Activity 2,2010,https://letterboxd.com/film/paranormal-activity-2/,
8,A Fistful of Dollars,1964,https://letterboxd.com/film/a-fistful-of-dollars/,
9,Drew Peterson: Untouchable,2012,https://letterboxd.com/film/drew-peterson-untouchable/,
10,For a Few Dollars More,1965,https://letterboxd.com/film/for-a-few-dollars-more/,
11,Sexting in Suburbia,2012,https://letterboxd.com/film/sexting-in-suburbia/,
12,"The Good, the Bad and the Ugly",1966,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,
13,The Ides of March,2011,https://letterboxd.com/film/the-ides-of-march/,
14,The Happening,2008,https://letterboxd.com/film/the-happening/,
15,Volcano,1997,https://letterboxd.com/film/volcano/,
16,Candyman,1992,https://letterboxd.com/film/candyman/,
17,A Nightmare on Elm Street,1984,https://letterboxd.com/film/a-nightmare-on-elm-street/,
18,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://letterboxd.com/film/a-nightmare-on-elm-street-part-2-freddys-revenge/,
19,Record Player: Christian Marclay,2000,https://letterboxd.com/film/record-player-christian-marclay/,
20,Telephones,1995,https://letterboxd.com/film/telephones/,
21,Triple Dog,2010,https://letterboxd.com/film/triple-dog/,
22,Annie Hall,1977,https://letterboxd.com/film/annie-hall/,
23,Art & Copy,2009,https://letterboxd.com/film/art-copy/,
24,Blue-Eyed Butcher,2012,https://letterboxd.com/film/blue-eyed-butcher/,
25,Red Desert,1964,https://letterboxd.com/film/red-desert/,
26,Weekend,1967,https://letterboxd.com/film/weekend-1967/,
27,The Hunger Games,2012,https://letterboxd.com/film/the-hunger-games/,
28,The War Room,1993,https://letterboxd.com/film/the-war-room/,
29,The Warped Ones,1960,https://letterboxd.com/film/the-warped-ones/,
30,Intimidation,1960,https://letterboxd.com/film/intimidation/,
31,Adopting Terror,2012,https://letterboxd.com/film/adopting-terror/,
32,Black Sun,1964,https://letterboxd.com/film/black-sun-1964/,
33,Terror in the Family,1996,https://letterboxd.com/film/terror-in-the-family/,
34,The Wife He Met Online,2012,https://letterboxd.com/film/the-wife-he-met-online/,
35,The Passenger,1975,https://letterboxd.com/film/the-passenger/,
36,The Wild One,1953,https://letterboxd.com/film/the-wild-one/,
37,Carlos,2010,https://letterboxd.com/film/carlos/,
38,The Sandlot,1993,https://letterboxd.com/film/the-sandlot/,
39,Cruel Gun Story,1964,https://letterboxd.com/film/cruel-gun-story/,
40,Branded to Kill,1967,https://letterboxd.com/film/branded-to-kill/,
41,Drive,2011,https://letterboxd.com/film/drive-2011/,
42,Fighting the Odds: The Marilyn Gambrell Story,2005,https://letterboxd.com/film/fighting-the-odds-the-marilyn-gambrell-story/,
43,Knut And Friends,2008,https://letterboxd.com/film/knut-and-friends/,
44,P.U.N.K.S,1999,https://letterboxd.com/film/punks/,
45,For All Mankind,1989,https://letterboxd.com/film/for-all-mankind/,
46,Grizzly Man,2005,https://letterboxd.com/film/grizzly-man/,
47,Fidel: The Untold Story,2001,https://letterboxd.com/film/fidel-the-untold-story/,
48,Prometheus,2012,https://letterboxd.com/film/prometheus/,
49,Antropophagus,1980,https://letterboxd.com/film/antropophagus/,
50,Nightmare,1981,https://letterboxd.com/film/nightmare-1981/,
51,Shock,1977,https://letterboxd.com/film/shock-1977/,
52,Screamers,1981,https://letterboxd.com/film/screamers-1981/,
53,Nightmare City,1980,https://letterboxd.com/film/nightmare-city/,
54,GLOW: The Story of the Gorgeous Ladies of Wrestling,2012,https://letterboxd.com/film/glow-the-story-of-the-gorgeous-ladies-of-wrestling/,
55,Summer with Monika,1953,https://letterboxd.com/film/summer-with-monika/,
56,The Secret,2007,https://letterboxd.com/film/the-secret-2007/,
57,Comandante,2003,https://letterboxd.com/film/comandante/,
58,GoodFellas,1990,https://letterboxd.com/film/goodfellas/,
59,Daisies,1966,https://letterboxd.com/film/daisies/,
60,A Day in the Country,1936,https://letterboxd.com/film/a-day-in-the-country/,
61,The Dark Knight Rises,2012,https://letterboxd.com/film/the-dark-knight-rises/,
62,Safe,1995,https://letterboxd.com/film/safe/,
63,Dogtooth,2009,https://letterboxd.com/film/dogtooth/,
64,The Blob,1958,https://letterboxd.com/film/the-blob/,
65,The Turin Horse,2011,https://letterboxd.com/film/the-turin-horse/,
66,The Tree of Life,2011,https://letterboxd.com/film/the-tree-of-life-2011/,
