
Date,Name,Tags,URL,Description
2019-03-18,something weird watchlist,,https://letterboxd.com/aghoulaghast/list/something-weird-watchlist/,in lieu of a wishlist on their website

Position,Name,Year,URL,Description
1,Strange Compulsion,1964,https://letterboxd.com/film/strange-compulsion/,
2,I Want More,1969,https://letterboxd.com/film/i-want-more-1969/,
3,Alice In Acidland,1969,https://letterboxd.com/film/alice-in-acidland/,
4,Something's Happening,1967,https://letterboxd.com/film/somethings-happening/,
5,Starlet,1969,https://letterboxd.com/film/starlet-1969/,
6,Malamondo,1964,https://letterboxd.com/film/malamondo/,
7,Nude on the Moon,1961,https://letterboxd.com/film/nude-on-the-moon/,
8,Deadly Weapons,1974,https://letterboxd.com/film/deadly-weapons/,
9,Double Agent 73,1974,https://letterboxd.com/film/double-agent-73/,
10,Let Me Die a Woman,1977,https://letterboxd.com/film/let-me-die-a-woman/,
11,The Immoral Three,1975,https://letterboxd.com/film/the-immoral-three/,
12,Sin in the Suburbs,1964,https://letterboxd.com/film/sin-in-the-suburbs/,
13,Take It Out in Trade,1970,https://letterboxd.com/film/take-it-out-in-trade/,
14,A Taste of Flesh,1967,https://letterboxd.com/film/a-taste-of-flesh/,
15,"1,000 Shapes of a Female",1963,https://letterboxd.com/film/1000-shapes-of-a-female/,
16,Fallguy,1962,https://letterboxd.com/film/fallguy/,
17,I Was a Man,1967,https://letterboxd.com/film/i-was-a-man/,
18,The Devil's Joint,1969,https://letterboxd.com/film/the-devils-joint/,
19,The Black Alley Cats,1973,https://letterboxd.com/film/the-black-alley-cats/,
20,Lusting Hours,1967,https://letterboxd.com/film/lusting-hours/,
21,Racket Girls,1951,https://letterboxd.com/film/racket-girls/,
22,The Love Cult,1966,https://letterboxd.com/film/the-love-cult/,
23,Lonesome Women,1959,https://letterboxd.com/film/lonesome-women/,
24,The Pace That Kills,1935,https://letterboxd.com/film/the-pace-that-kills/,
25,Youth Aflame,1944,https://letterboxd.com/film/youth-aflame/,
26,The Terrible People,1960,https://letterboxd.com/film/the-terrible-people/,
27,That Tender Touch,1969,https://letterboxd.com/film/that-tender-touch/,
28,It’s a Revolution Mother,1969,https://letterboxd.com/film/its-a-revolution-mother/,
