
Date,Name,Tags,URL,Description
2017-07-29,"the Mahoning Drive-In Theater, 2016 Season",,https://letterboxd.com/malantonio/list/the-mahoning-drive-in-theater-2016-season/,"Films shown at the <a href=""http://www.mahoningdit.com/"">Mahoning Drive-In Theater</a> (Lehighton, Pennsylvania) in 2015. See notes for programs + dates. (Titles pulled from Facebook events; secret showings aren't included)"

Position,Name,Year,URL,Description
1,The Wizard of Oz,1939,https://letterboxd.com/film/the-wizard-of-oz-1939/,"2016 Season Premiere: April 22 - 23, 2016"
2,Willy Wonka & the Chocolate Factory,1971,https://letterboxd.com/film/willy-wonka-the-chocolate-factory/,"2016 Season Premiere: April 22 - 23, 2016"
3,The Breakfast Club,1985,https://letterboxd.com/film/the-breakfast-club/,"80s Party Weekend: April 29 - 30, 2016"
4,Fast Times at Ridgemont High,1982,https://letterboxd.com/film/fast-times-at-ridgemont-high/,"80s Party Weekend: April 29 - 30, 2016"
5,Dirty Harry,1971,https://letterboxd.com/film/dirty-harry/,"Tough Guy Weekend, Day 1: May 6, 2016"
6,The Yakuza,1974,https://letterboxd.com/film/the-yakuza/,"Tough Guy Weekend, Day 1: May 6, 2016"
7,Above the Law,1988,https://letterboxd.com/film/above-the-law/,"Tough Guy Weekend, Day 1: May 6, 2016"
8,Mad Max 2,1981,https://letterboxd.com/film/mad-max-2/,"Tough Guy Weekend, Day 2: May 7, 2016"
9,The Gauntlet,1977,https://letterboxd.com/film/the-gauntlet/,"Tough Guy Weekend, Day 2: May 7, 2016"
10,The Big Brawl,1980,https://letterboxd.com/film/the-big-brawl/,"Tough Guy Weekend, Day 2: May 7, 2016"
11,Pee-wee's Big Adventure,1985,https://letterboxd.com/film/pee-wees-big-adventure/,"Tim Burton Weekend: May 13 - 14, 2016"
12,Beetlejuice,1988,https://letterboxd.com/film/beetlejuice/,"Tim Burton Weekend: May 13 - 14, 2016"
13,Spider-Man,2002,https://letterboxd.com/film/spider-man/,"Spider-Man / Spider-Man 2: May 20 - 21, 2016"
14,Spider-Man 2,2004,https://letterboxd.com/film/spider-man-2/,"Spider-Man / Spider-Man 2: May 20 - 21, 2016"
15,City of the Living Dead,1980,https://letterboxd.com/film/city-of-the-living-dead/,"Zombiefest II, Day 1: May 27, 2016"
16,Burial Ground,1981,https://letterboxd.com/film/burial-ground/,"Zombiefest II, Day 1: May 27, 2016"
17,Night of the Zombies,1980,https://letterboxd.com/film/night-of-the-zombies-1980/,"Zombiefest II, Day 1: May 27, 2016"
18,The Return of the Living Dead,1985,https://letterboxd.com/film/the-return-of-the-living-dead/,"Zombiefest II, Day 2: May 28, 2016"
19,The Children,1980,https://letterboxd.com/film/the-children-1980/,"Zombiefest II, Day 2: May 28, 2016"
20,Psychomania,1973,https://letterboxd.com/film/psychomania/,"Zombiefest II, Day 2: May 28, 2016"
21,The Beyond,1981,https://letterboxd.com/film/the-beyond/,"Zombiefest II, Day 3: May 29, 2016"
22,Dead of Night,1974,https://letterboxd.com/film/deathdream/,"Zombiefest II, Day 3: May 29, 2016"
23,Shock Waves,1977,https://letterboxd.com/film/shock-waves/,"Zombiefest II, Day 3: May 29, 2016"
24,Animal House,1978,https://letterboxd.com/film/animal-house/,"John Belushi Night: June 3 - 4, 2016"
25,The Blues Brothers,1980,https://letterboxd.com/film/the-blues-brothers/,"John Belushi Night: June 3 - 4, 2016"
26,Jumanji,1995,https://letterboxd.com/film/jumanji/,"Jumanji / Hook: June 10 - 11, 2016"
27,Hook,1991,https://letterboxd.com/film/hook/,"Jumanji / Hook: June 10 - 11, 2016"
28,Night of the Living Dead,1968,https://letterboxd.com/film/night-of-the-living-dead/,"George A Romero Tribute Weekend, Day 1: June 17, 2016"
29,The Crazies,1973,https://letterboxd.com/film/the-crazies/,"George A Romero Tribute Weekend, Day 1: June 17, 2016"
