Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2015-02-21,Birdman,2014,https://letterboxd.com/malantonio/film/birdman/,3.5,,"the acting was phenomenal, ditto the soundtrack, but for whatever reason the other parts just stuck me as ""pretty good""",digital,
2017-03-05,10 Cloverfield Lane,2016,https://letterboxd.com/malantonio/film/10-cloverfield-lane/,3.5,,did this really need to become part of a franchise?,"streaming, hulu",2017-03-04
2017-03-06,Stage Fright,1950,https://letterboxd.com/malantonio/film/stage-fright/,4,,"fun and surprisingly funny? my knowledge of Hitchcock is sorely limited to the big names (Psycho, the Birds, Vertigo, etc) so this was a lovely surprise. the acting is on-point -- Jane Wyman and Michael Wilding are charming as all get-out, and Alastair Sim is a delight to watch.","35mm, colonial theatre, theater",2017-03-05
2017-03-07,All the President's Men,1976,https://letterboxd.com/malantonio/film/all-the-presidents-men/,4,,gripping pacing and fantastic camerawork throughout. calls for a rewatch solely for the amount of information that's crammed into 2 hours. the final few minutes feel rushed / tacked on and I wonder what a 3 hour version would have felt like.,"streaming, hbo",2017-03-06
2017-07-17,Treasure of the Four Crowns,1983,https://letterboxd.com/malantonio/film/treasure-of-the-four-crowns/,4,,"italian indiana jones as a heist movie. 3d effects are abundant. a whole lot of fun, but I wonder how it plays in 2d?","35mm, 3d, theater, exhumed films",2017-07-16
2017-07-17,Hit the Road Running,1983,https://letterboxd.com/malantonio/film/hit-the-road-running/,3.5,,"suffers a bit from being too long and repeating itself, but a surprisingly fun ride throughout. ","35mm, 3d, theater, exhumed films",2017-07-16
2017-07-19,The Last House on the Left,1972,https://letterboxd.com/malantonio/film/the-last-house-on-the-left/,2.5,Yes,"a) are the weird happy-go-lucky songs in the first half supposed to cause unease? to give the impression that the film is on the side of the killers?

b) is the wacky journey of the cops supposed to imply that law enforcement is incompetent and give a ""take matters into yr own hands"" message, a la DEATH WISH?

maybe they're both right, but I have trouble putting together these undercurrents with the film I actually watched.",dvd,2017-07-18
2017-09-16,The Death King,1990,https://letterboxd.com/malantonio/film/the-death-king/,2,,"low budget morbid curiosity from early 90s germany that plays like an art house FACES OF DEATH. seven segments featuring suicides and/or murders. the penultimate is legitately disturbing and most memorable, but it takes a while to get there. there's also a repeating interlude of a decaying corpse which would be a good companion to that one Brakhage film.","streaming, shudder",2017-09-15
2017-09-18,Point Break,1991,https://letterboxd.com/malantonio/film/point-break/,3,,I don't understand swayze's appeal,"streaming, google play",2017-09-17
2017-09-24,WNUF Halloween Special,2013,https://letterboxd.com/malantonio/film/wnuf-halloween-special/,3.5,,"I love the effort that went into presenting this as a real artifact, especially the segments/commercials that are included purely to invoke the mood of the times. ","streaming, shudder",2017-09-23
2017-10-15,The Fly II,1989,https://letterboxd.com/malantonio/film/the-fly-ii/,3,,"why this wasn't called ""son of the fly"" is beyond me",download,2017-10-14
2017-10-21,Dracula,1931,https://letterboxd.com/malantonio/film/dracula/,4,,I am absolutely Here For This,"streaming, shudder",2017-10-20
2017-10-27,Children of the Corn,1984,https://letterboxd.com/malantonio/film/children-of-the-corn/,1.5,,the kids' fashion is pretty great. so there's that I guess. ,"netflix, streaming",2017-10-26
2017-12-25,Detour,1945,https://letterboxd.com/malantonio/film/detour/,4,Yes,ann savage <3 <3,"dvd-rip, film noir",2017-12-24
2018-01-11,Fatal Honeymoon,2012,https://letterboxd.com/malantonio/film/fatal-honeymoon/1/,2.5,Yes,this may very well be my favorite harvey keitel performance? more harvey playing normal old dudes please. ,"streaming, youtube",2018-01-10
2018-01-12,Alien Intrusion: Unmasking a Deception,2018,https://letterboxd.com/malantonio/film/alien-intrusion-unmasking-a-deception/,1.5,,spoiler: aliens are demons,"digital, theater",2018-01-11
2018-01-18,Passenger 57,1992,https://letterboxd.com/malantonio/film/passenger-57/,3,,a showcase of 90s action tropes and a fantastic slap-bass/saxophone soundtrack. ,laserdisc,2018-01-17
2018-02-09,The Conjuring,2013,https://letterboxd.com/malantonio/film/the-conjuring/,2.5,Yes,"there's a fantastic haunted house movie in there that's unfortunately bogged down with too much going on. not really sure the warrens needed to be major characters. but james wan knows how to direct the hell out of a slow scare (that is, when the camera isn't flailing around).","streaming, netflix",2018-02-08
2018-02-10,Tank,1984,https://letterboxd.com/malantonio/film/tank-1984/,2.5,,"a fun, odd movie about family, a tank, and posse comitatus. definitely 30 mins too long, but it's easy to get swept up in how much fun everyone seems to be having. ","streaming, google play",2018-02-09
2018-02-27,Annihilation,2018,https://letterboxd.com/malantonio/film/annihilation/,3,,"probably gonna need to see this one again. it wasn't an unpleasant ""what's going on here? / i think i know what's going on"", but i still feel uncertain","digital, theater",2018-02-26
2018-03-22,The Dark Knight,2008,https://letterboxd.com/malantonio/film/the-dark-knight/1/,3.5,Yes,"every time I rewatch this, the convoluted-ness of the plot is more apparent. I still cry at just about every Michael Caine speech though.","streaming, google play",2018-03-21
2018-03-25,The Dark Knight Rises,2012,https://letterboxd.com/malantonio/film/the-dark-knight-rises/,2.5,Yes,"maybe it's because no one i watched this with was having it, but this didn't hold up very strongly. everything's muddy because there's too much of it happening. remember how great the trailers were in the lead-up to its release?","streaming, google play",2018-03-24
2018-03-27,The Nice Guys,2016,https://letterboxd.com/malantonio/film/the-nice-guys/,4.5,,one of my favorite screenplays in recent memory and everyone knocks it out of the park.,dvd,2018-03-26
2018-03-31,The Craft,1996,https://letterboxd.com/malantonio/film/the-craft/2/,4.5,Yes,"when nancy's stepfather/mom's-boyfriend dies, they get $175k from his insurance. with that they buy: a jukebox of connie frances records, new furniture + outfits, a convertable, and move to a fancy 2(?) bedroom apartment in la. a) did they buy or rent the apt? b) of renting, how long can they expect to live there?","digital, theater",2018-03-30
2018-04-01,Five Easy Pieces,1970,https://letterboxd.com/malantonio/film/five-easy-pieces/,3.5,,i spent a majority of the movie not liking bobby before i realized that neither does he. it's fascinating and beautiful and poignant in a way that feels very of its time. ,"streaming, filmstruck",2018-03-31
2018-04-02,Decasia,2002,https://letterboxd.com/malantonio/film/decasia/,3.5,,"dizzying and fascinating. there's a sequence early on that, from the dissonant soundtrack and slowed frame-rate, creeped me out like a great horror film. the score is like a dream penderecki / godspeed you black emperor collab. ","streaming, filmstruck",2018-04-01
2018-04-02,Benny's Video,1992,https://letterboxd.com/malantonio/film/bennys-video/,2.5,Yes,"this plays out like a literal nightmare, which makes it unforgettable. the messaging of the movie is a little heavy-handed, which is kinda haneke's thing. ","streaming, filmstruck",2018-04-01
2018-04-06,Voyage to the Sky,1937,https://letterboxd.com/malantonio/film/voyage-to-the-sky/,3.5,,"some lovely special effects in this, and a surprisingly understandable explanation of how distance in space is calculated. ","streaming, filmstruck",2018-04-05
2018-04-08,Light Is Calling,2004,https://letterboxd.com/malantonio/film/light-is-calling/,3.5,,the yellowing and warping of the filmstock give the feeling of human forms emerging from flames. ,"streaming, filmstruck",2018-04-08
2018-04-12,Unsane,2018,https://letterboxd.com/malantonio/film/unsane/,3,,"this movie succeeds when it's left ambiguous, and the back half suffers when the jig is up, so to speak. there's also some subplots that are a little heavy handed. and a totally unnecessary cameo.","theater, digital, moviepass",2018-04-11
2018-04-14,Andre the Giant,2018,https://letterboxd.com/malantonio/film/andre-the-giant/,3,,"a fine watch, but plays out almost exactly how you'd imagine it would. almost unfortunately conventional in its approach. ","streaming, hbo",2018-04-13
2018-04-16,Se7en,1995,https://letterboxd.com/malantonio/film/se7en/,4,Yes,"woof. not having seen this in years, the memory that sticks is mostly how grisly the crime scenes are. but the crushing hopelessness that permeates is stronger now.","streaming, netflix",2018-04-15
2018-04-17,Eraserhead,1977,https://letterboxd.com/malantonio/film/eraserhead/,5,Yes,encompasses every anxiety i have about becoming an adult,"streaming, filmstruck",2018-04-16
2018-04-18,The Killing of a Sacred Deer,2017,https://letterboxd.com/malantonio/film/the-killing-of-a-sacred-deer/,4.5,,"i was shook for a solid fifteen minutes after the credits finished. the plot was mentioned to me long enough ago that i had forgotten the broad strokes + went in mostly not knowing what to expect. that seems like the best way to take this one in. i'd love to read the screenplay. (also, i completely missed alicia silverstone) ","streaming, amazon prime",2018-04-17
2018-04-19,In Search of Ozu,2018,https://letterboxd.com/malantonio/film/in-search-of-ozu/,3.5,,a nice look at pieces of ozu's life/career. definitely fine as an extra feature. i could watch a whole film / read a whole book discussinf his screenplays and storyboards. ,"streaming, filmstruck",2018-04-19
2018-04-24,Out of the Past,1947,https://letterboxd.com/malantonio/film/out-of-the-past/,3,Yes,"lots of twists and turns, which isnt the easiest to follow on an airplane. can't lie, i had a hard time telling kathie and carson (the secretary) apart. kirk douglas is wonderfully sleazy. would have loved to see a non-code version where jeff and kathie get away together but despise each other. ","streaming, airplane, delta",2018-04-23
2018-04-30,My Winnipeg,2007,https://letterboxd.com/malantonio/film/my-winnipeg/,3.5,,"a mythical documentary loveletter fantasy of a film. hints of lynch, von trier, and gilliam somehow? really made me feel like i know nothing about the area i've lived in my whole life.","filmstruck, streaming",2018-04-29
2018-05-01,The Devils,1971,https://letterboxd.com/malantonio/film/the-devils/,3.5,,"to be honest, i spent a good portion of the first half not quite sure of what was happening. once the machinations became clear, however, it was hard to look away. the score is unnerving and unrelenting at times, and a few of the sequences in the back half were anxiety-inducing.  yikes.",download,2018-04-30
2018-05-05,Groundhog Day,1993,https://letterboxd.com/malantonio/film/groundhog-day/,3.5,,"i was expecting the game of the movie to be spoiled by how embedded it's become in pop culture, but it still feels fresh and exciting. some of the editng choices are really nice and capture the infinite loop feeling super well. i'm glad i finally saw this as an adult; i'm sure a lot of it would have been lost (or unappreciated) on a younger me. ","drive-in, 35mm",2018-05-04
2018-05-05,Stripes,1981,https://letterboxd.com/malantonio/film/stripes/,2,,"there were a couple of decent gags early on, but not from the main cast. i don't think comedies from this era really hold up, and this is no exception. i found it tedious and forgettable.","35mm, drive-in",2018-05-04
2018-05-13,GoodFellas,1990,https://letterboxd.com/malantonio/film/goodfellas/1/,5,Yes,always love to see this and be reminded of how many references to it in my day-to-day. ,"35mm, drive-in",2018-05-12
2018-05-13,Casino,1995,https://letterboxd.com/malantonio/film/casino/,3,,the sunglasses just keep getting bigger and bigger as the film progresses,,2018-05-12
2018-05-21,A Quiet Place,2018,https://letterboxd.com/malantonio/film/a-quiet-place-2018/,2.5,,Some pretty effective scenes and the quiet parts live up to the hype. It goes a little overboard on the *VOLUME TO TEN* scares which just becomes tired by the end. The monsters are also meh; yadda yadda the horror is what isn't seen. I was super glad to see that the newscasts that open up one of the trailers aren't included.,"theater, moviepass, digital",2018-05-20
2018-05-21,Skate Witches,1986,https://letterboxd.com/malantonio/film/skate-witches/,5,Yes,"as with PUCE MOMENT and DIRTY GIRLS, i feel like things might have turned out differently for me if i saw this in high school. short, sweet, tuff, funny, weird, perfect.","streaming, youtube",2018-05-20
2018-05-25,Manson's Lost Girls,2016,https://letterboxd.com/malantonio/film/mansons-lost-girls/,2.5,,"all of the men are hillariously miscast. and really, everyone looks like a model. we spent most of the time discussing what a Good Manson Film would be like. that being said, it gets better as it progresses and ends up with a few good sequences. for a lifetime movie, it does a pretty good job.","streaming, lifetime movie club",2018-05-23
2018-05-26,Re-Animator,1985,https://letterboxd.com/malantonio/film/re-animator/,3,,delightfully bonkers. ,"35mm, drive-in",2018-05-25
