Date,Name,Year,Letterboxd URI
2015-02-07,Stranded in Canton,2005,https://letterboxd.com/film/stranded-in-canton/
2016-11-02,Antibirth,2016,https://letterboxd.com/film/antibirth/
2017-01-17,The Love Witch,2016,https://letterboxd.com/film/the-love-witch/
2017-01-17,Flatliners,1990,https://letterboxd.com/film/flatliners/
2017-01-17,Assault on Precinct 13,1976,https://letterboxd.com/film/assault-on-precinct-13/
2017-01-17,North by Northwest,1959,https://letterboxd.com/film/north-by-northwest/
2017-01-17,Rope,1948,https://letterboxd.com/film/rope/
2017-01-17,Amour,2012,https://letterboxd.com/film/amour/
2017-01-17,The Piano Teacher,2001,https://letterboxd.com/film/the-piano-teacher/
2017-01-17,Tarr Béla: I Used to Be a Filmmaker,2014,https://letterboxd.com/film/tarr-bela-i-used-to-be-a-filmmaker/
2017-01-17,Satantango,1994,https://letterboxd.com/film/satantango/
2017-01-17,The Man from London,2007,https://letterboxd.com/film/the-man-from-london/
2017-01-28,"Accidental Courtesy: Daryl Davis, Race & America",2016,https://letterboxd.com/film/accidental-courtesy-daryl-davis-race-america/
2017-02-16,Tampopo,1985,https://letterboxd.com/film/tampopo/
2017-02-16,A Taxing Woman,1987,https://letterboxd.com/film/a-taxing-woman/
2017-02-16,The Funeral,1984,https://letterboxd.com/film/the-funeral/
2017-03-05,The Young Girls of Rochefort,1967,https://letterboxd.com/film/the-young-girls-of-rochefort/
2017-03-17,Peppermint Frappe,1967,https://letterboxd.com/film/peppermint-frappe/
2017-03-23,My Name Is Albert Ayler,2006,https://letterboxd.com/film/my-name-is-albert-ayler/
2017-03-27,Toad Road,2012,https://letterboxd.com/film/toad-road/
2017-04-09,Gas Food Lodging,1992,https://letterboxd.com/film/gas-food-lodging/
2017-04-25,The Cremator,1969,https://letterboxd.com/film/the-cremator/
2017-04-28,She's Allergic to Cats,2016,https://letterboxd.com/film/shes-allergic-to-cats/
2017-05-31,Les Bonnes Femmes,1960,https://letterboxd.com/film/les-bonnes-femmes/
2017-06-08,Little Sister,2016,https://letterboxd.com/film/little-sister-2016/
2017-06-08,Wonder Woman,2017,https://letterboxd.com/film/wonder-woman-2017/
2017-06-10,Patty Hearst,1988,https://letterboxd.com/film/patty-hearst/
2017-06-12,What Lies Beneath,2000,https://letterboxd.com/film/what-lies-beneath/
2017-06-12,Who Can Kill a Child?,1976,https://letterboxd.com/film/who-can-kill-a-child/
2017-06-12,The House That Screamed,1969,https://letterboxd.com/film/the-house-that-screamed/
2017-06-12,House of Usher,1960,https://letterboxd.com/film/house-of-usher/
2017-06-14,The Diary of a Teenage Girl,2015,https://letterboxd.com/film/the-diary-of-a-teenage-girl/
2017-06-14,The Night of the Hunter,1955,https://letterboxd.com/film/the-night-of-the-hunter/
2017-06-14,I Am the Pretty Thing That Lives in the House,2016,https://letterboxd.com/film/i-am-the-pretty-thing-that-lives-in-the-house/
2017-06-15,Macbeth,1982,https://letterboxd.com/film/macbeth-1982/
2017-06-15,Damnation,1988,https://letterboxd.com/film/damnation/
2017-06-15,Fried Green Tomatoes,1991,https://letterboxd.com/film/fried-green-tomatoes/
2017-06-15,Thelma & Louise,1991,https://letterboxd.com/film/thelma-louise/
2017-06-23,My Journey Through French Cinema,2016,https://letterboxd.com/film/my-journey-through-french-cinema/
2017-06-23,The Bad Batch,2016,https://letterboxd.com/film/the-bad-batch/
2017-06-23,Road House,1989,https://letterboxd.com/film/road-house/
2017-06-23,Kill Your Idols,2004,https://letterboxd.com/film/kill-your-idols/
2017-06-27,The Institute,2013,https://letterboxd.com/film/the-institute/
2017-06-29,The Reagan Show,2017,https://letterboxd.com/film/the-reagan-show/
2017-06-29,The Battered Bastards of Baseball,2014,https://letterboxd.com/film/the-battered-bastards-of-baseball/
2017-06-30,GLOW: The Story of the Gorgeous Ladies of Wrestling,2012,https://letterboxd.com/film/glow-the-story-of-the-gorgeous-ladies-of-wrestling/
2017-07-08,Death Machine,1994,https://letterboxd.com/film/death-machine/
2017-07-08,Trancers II: The Return of Jack Deth,1991,https://letterboxd.com/film/trancers-ii-the-return-of-jack-deth/
2017-07-09,Wanda,1970,https://letterboxd.com/film/wanda/
2017-07-09,America's Deadliest Home Video,1993,https://letterboxd.com/film/americas-deadliest-home-video/
2017-07-09,Beauty Queen Butcher,1991,https://letterboxd.com/film/beauty-queen-butcher/
2017-07-09,One Man Force,1989,https://letterboxd.com/film/one-man-force/
2017-07-12,Vice Squad,1982,https://letterboxd.com/film/vice-squad/
2017-07-12,Dead & Buried,1981,https://letterboxd.com/film/dead-buried/
2017-07-13,Matinee,1993,https://letterboxd.com/film/matinee/
2017-07-13,Logan,2017,https://letterboxd.com/film/logan-2017/
2017-07-14,Salem's Lot,1979,https://letterboxd.com/film/salems-lot/
2017-07-14,Joy of Learning,1969,https://letterboxd.com/film/joy-of-learning/
2017-07-14,1 P.M.,1972,https://letterboxd.com/film/1-pm/
2017-07-14,Sauve la vie (qui peut),1981,https://letterboxd.com/film/sauve-la-vie-qui-peut/
2017-07-14,Every Man for Himself,1980,https://letterboxd.com/film/every-man-for-himself/
2017-07-14,Behind the Mask: The Rise of Leslie Vernon,2006,https://letterboxd.com/film/behind-the-mask-the-rise-of-leslie-vernon/
2017-07-14,The Frighteners,1996,https://letterboxd.com/film/the-frighteners/
2017-07-14,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,https://letterboxd.com/film/the-adventures-of-buckaroo-banzai-across-the-8th-dimension/
2017-07-15,Don't Torture a Duckling,1972,https://letterboxd.com/film/dont-torture-a-duckling/
2017-07-15,High and Low,1963,https://letterboxd.com/film/high-and-low/
2017-07-15,Andrei Rublev,1966,https://letterboxd.com/film/andrei-rublev/
2017-07-15,The Wages of Fear,1953,https://letterboxd.com/film/the-wages-of-fear/
2017-07-15,Brazil,1985,https://letterboxd.com/film/brazil/
2017-07-15,Yojimbo,1961,https://letterboxd.com/film/yojimbo/
2017-07-15,Orpheus,1950,https://letterboxd.com/film/orpheus/
2017-07-15,"Ivan the Terrible, Part I",1944,https://letterboxd.com/film/ivan-the-terrible-part-i/
2017-07-15,Alexander Nevsky,1938,https://letterboxd.com/film/alexander-nevsky/
2017-07-15,"Ivan the Terrible, Part II: The Boyars' Plot",1958,https://letterboxd.com/film/ivan-the-terrible-part-ii-the-boyars-plot/
2017-07-15,Double Suicide,1969,https://letterboxd.com/film/double-suicide/
2017-07-15,Gertrud,1964,https://letterboxd.com/film/gertrud/
2017-07-15,Carl Th. Dreyer: My Metier,1995,https://letterboxd.com/film/carl-th-dreyer-my-metier/
2017-07-15,Ordet,1955,https://letterboxd.com/film/ordet/
2017-07-15,Häxan,1922,https://letterboxd.com/film/haxan/
2017-07-15,Man Bites Dog,1992,https://letterboxd.com/film/man-bites-dog/
2017-07-15,The Pornographers,1966,https://letterboxd.com/film/the-pornographers/
2017-07-15,Veronika Voss,1982,https://letterboxd.com/film/veronika-voss/
2017-07-15,The Marriage of Maria Braun,1979,https://letterboxd.com/film/the-marriage-of-maria-braun/
2017-07-15,Lola,1981,https://letterboxd.com/film/lola-1981/
2017-07-15,The Honeymoon Killers,1970,https://letterboxd.com/film/the-honeymoon-killers/
2017-07-15,The Rules of the Game,1939,https://letterboxd.com/film/the-rules-of-the-game/
2017-07-15,Le Cercle Rouge,1970,https://letterboxd.com/film/le-cercle-rouge/
2017-07-15,Ikiru,1952,https://letterboxd.com/film/ikiru/
2017-07-15,Scenes from a Marriage,1974,https://letterboxd.com/film/scenes-from-a-marriage/
2017-07-15,Stray Dog,1949,https://letterboxd.com/film/stray-dog/
2017-07-15,Secret Honor,1984,https://letterboxd.com/film/secret-honor/
2017-07-15,Short Cuts,1993,https://letterboxd.com/film/short-cuts/
2017-07-15,Touchez Pas au Grisbi,1954,https://letterboxd.com/film/touchez-pas-au-grisbi/
2017-07-15,Crazed Fruit,1956,https://letterboxd.com/film/crazed-fruit/
2017-07-15,Pickpocket,1959,https://letterboxd.com/film/pickpocket/
2017-07-15,First Man Into Space,1959,https://letterboxd.com/film/first-man-into-space/
2017-07-15,Grip of the Strangler,1958,https://letterboxd.com/film/grip-of-the-strangler/
2017-07-15,Corridors of Blood,1958,https://letterboxd.com/film/corridors-of-blood/
2017-07-15,Vengeance Is Mine,1979,https://letterboxd.com/film/vengeance-is-mine/
2017-07-15,Pitfall,1962,https://letterboxd.com/film/pitfall-1962/
2017-07-15,Woman in the Dunes,1964,https://letterboxd.com/film/woman-in-the-dunes/
2017-07-15,The Face of Another,1966,https://letterboxd.com/film/the-face-of-another/
2017-07-15,Ace in the Hole,1951,https://letterboxd.com/film/ace-in-the-hole/
2017-07-15,Martha Graham: Dance on Film,1957,https://letterboxd.com/film/martha-graham-dance-on-film/
2017-07-15,Walker,1987,https://letterboxd.com/film/walker/
2017-07-15,Antonio Gaudí,1984,https://letterboxd.com/film/antonio-gaudi/
2017-07-15,An Autumn Afternoon,1962,https://letterboxd.com/film/an-autumn-afternoon/
2017-07-15,Pigs and Battleships,1961,https://letterboxd.com/film/pigs-and-battleships/
2017-07-15,Wise Blood,1979,https://letterboxd.com/film/wise-blood/
2017-07-15,The Insect Woman,1963,https://letterboxd.com/film/the-insect-woman/
2017-07-15,Intentions of Murder,1964,https://letterboxd.com/film/intentions-of-murder/
